,tic,gsector
325937,TRNS,20.0
3611062,EWCR,55.0
4209716,AAGFF,15.0
4274503,WODI,45.0
2849071,UOLI,50.0
2694419,FFIV,45.0
156496,HXL,20.0
1762783,ABBRF,15.0
364906,CASM,35.0
596650,PUK.PA,40.0
3703138,FOR,60.0
308084,STAI,45.0
426576,CMPD,35.0
3797791,WMRSF,15.0
918927,YMZBY,30.0
2194790,SEAC,45.0
4157443,MPC,10.0
3716783,EDW.,15.0
998778,WPK.,15.0
1651683,THTX,35.0
1063371,VGO.,45.0
424463,BRST,60.0
2695484,PNP.,40.0
2474162,GWMGF,15.0
790819,XLRN,35.0
4372074,VCMMF,50.0
4236725,PJXRF,15.0
3716030,CSOC,35.0
1248224,TFRY,20.0
2100477,FOYJ,15.0
2051722,HSEEF,25.0
4066296,CMRE.PE,20.0
1161731,FRTA,15.0
3855617,MHHC,20.0
3961608,SANW,30.0
1190264,FNAT,25.0
2326232,SNDY,35.0
639434,SEPOF,20.0
1422438,ALLXF,15.0
1585977,ZTO,20.0
559384,DNHBY,40.0
4456582,LPG,10.0
3198223,HFBL,40.0
2541065,GDXRF,15.0
1743879,AZPN,45.0
2544280,RGVNF,15.0
3771505,IOVA,35.0
4460435,DLVHF,25.0
1324753,AREC,10.0
337029,UTL,55.0
646876,TMHC,25.0
3110677,GBOE,10.0
3552107,IBKR,40.0
3174437,CE,15.0
2057340,FTCH,25.0
2076840,AXMP,35.0
2045798,ARLO,45.0
4283816,BAK,15.0
3488572,LIBFD,35.0
292670,PESXQ,10.0
3644460,DDDA,25.0
471562,FRC.PI,40.0
1936864,CAAP,20.0
2605513,ULTI,45.0
928832,LENSF,35.0
1381371,XCOMQ,45.0
2184452,EUOT,20.0
4069766,BKU,40.0
3310359,HYGN,20.0
280824,SBR,10.0
1106729,ICBK,40.0
136575,AJG,40.0
3685258,SCU,40.0
41309,BLLI,45.0
3113219,ABR,40.0
3013679,TNGMF,15.0
1178787,AVIX,30.0
84108,JCS,45.0
491065,SAMG,40.0
2118750,BDR,45.0
4238325,ACRE,40.0
2595595,POE.,10.0
1999454,SURF,35.0
2941784,AAP,25.0
2389161,PKX,15.0
1860252,NCNA,35.0
3345814,ELEEF,40.0
3799877,BERY,15.0
4205544,TLYS,25.0
3116808,BOPFF,10.0
1315906,CVLB,30.0
846234,MYBF,40.0
1015366,JTX.,50.0
441171,ATPL,15.0
2090209,HSBI,40.0
1275950,AILIM,55.0
889012,CBAY,35.0
2253577,ZEON,10.0
1069394,TUSK,10.0
870241,NLTA.,35.0
2786975,MET,40.0
1130168,WSTN,45.0
1546371,ITHUF,35.0
2089958,AMRB,40.0
4175352,ATZ.,25.0
2203349,BBAL,35.0
2599362,NRLB,40.0
232083,NBL,10.0
3342788,CETY,20.0
718004,CVLY,40.0
2216170,TVK.,10.0
2327487,SCVM,35.0
2654665,UBNC,40.0
2772922,PPL.PR.I,10.0
2891178,CYSM,40.0
2335557,LNMIY,15.0
2656184,FNRC,10.0
195005,JEF,40.0
1631735,CARS,50.0
1817452,VNTR,15.0
1246969,ZBRA,45.0
2101732,ACGLP,40.0
288767,MUX.,15.0
2332119,GEBHY,25.0
304855,SMFG,40.0
1631233,URBN,25.0
2280085,FFRMF,30.0
3427863,ESN.,10.0
4063558,ENZB,15.0
563484,BMO.PR.W,40.0
3620441,TRAGF,50.0
2243417,SMV.H,35.0
1603950,ANNNC,15.0
419186,EEI,20.0
2828887,LTRX,45.0
3801695,JMBRF,10.0
2192684,PIC.PR.A,40.0
2586469,DTEV,45.0
1278111,MCFT,25.0
3989888,ROK.,10.0
2586815,PFBC,40.0
2030672,TBIO,35.0
3113470,ABR.PA,40.0
2933822,NMK.PC,55.0
1671472,KRP,10.0
62155,CBLRF,15.0
1022300,AST,35.0
2032607,HYRE,20.0
127651,TRMK,40.0
4218332,IMI,45.0
4132877,MITT,40.0
3527172,AVAV,20.0
4219838,RSS.,50.0
2832272,BEL,25.0
3474837,SNOA,35.0
3841188,BONXF,15.0
2336561,NPSCY,15.0
2952568,OMPS,45.0
1165325,SEDG,45.0
1526320,KPCPY,40.0
775094,FOXF,25.0
2719657,CJR.B,50.0
2129743,CDJM,55.0
3050508,CRHM,35.0
1215692,VTI.,45.0
2259640,MRETF,25.0
2977225,PVNC,40.0
2452677,MDNNF,15.0
596399,PUK.PR,40.0
1265912,KIM.PI,60.0
9834,AWRY,40.0
106086,CTA.PB,15.0
632675,HNGR,35.0
2149189,KVHI,45.0
4348740,OSTLY,15.0
1582951,GTCDF,15.0
159456,HMC,25.0
2423326,CGD.,15.0
2104314,APGI,20.0
2775810,XTG.,15.0
2861093,GGTHF,15.0
4438129,TRPX,35.0
4294818,ITEGF,50.0
67422,CTAM,20.0
2909950,HEO.,20.0
2290873,BB,45.0
1426046,AVXS,35.0
2435353,SYH.,10.0
355649,WWD,20.0
3912844,SWHN,45.0
2901434,IHTI,35.0
884043,BOXS,20.0
3192888,SFBI,40.0
